model,cond,level,input_tokens
mistral-small3.1:24b,DN_plausible,L1_forum,612
mistral-small3.1:24b,DN_plausible,L2_coach_blog,585
mistral-small3.1:24b,DN_plausible,L3_wiki,557
mistral-small3.1:24b,DN_plausible,L4_preprint,581
mistral-small3.1:24b,DN_plausible,L5_pseudodsm,549
mistral-small3.1:24b,real_anchor,L1_forum,603
mistral-small3.1:24b,real_anchor,L2_coach_blog,582
mistral-small3.1:24b,real_anchor,L3_wiki,553
mistral-small3.1:24b,real_anchor,L4_preprint,578
mistral-small3.1:24b,real_anchor,L5_pseudodsm,545
mistral-small3.1:24b,incoherent,L1_forum,623
mistral-small3.1:24b,incoherent,L2_coach_blog,599
mistral-small3.1:24b,incoherent,L3_wiki,571
mistral-small3.1:24b,incoherent,L4_preprint,595
mistral-small3.1:24b,incoherent,L5_pseudodsm,555
mistral-small3.1:24b,DN_flagged,L1_forum,650
mistral-small3.1:24b,DN_flagged,L2_coach_blog,604
mistral-small3.1:24b,DN_flagged,L3_wiki,576
mistral-small3.1:24b,DN_flagged,L4_preprint,600
mistral-small3.1:24b,DN_flagged,L5_pseudodsm,568
qwen2.5:32b,DN_plausible,L1_forum,305
qwen2.5:32b,DN_plausible,L2_coach_blog,276
qwen2.5:32b,DN_plausible,L3_wiki,246
qwen2.5:32b,DN_plausible,L4_preprint,267
qwen2.5:32b,DN_plausible,L5_pseudodsm,243
qwen2.5:32b,real_anchor,L1_forum,293
qwen2.5:32b,real_anchor,L2_coach_blog,270
qwen2.5:32b,real_anchor,L3_wiki,240
qwen2.5:32b,real_anchor,L4_preprint,261
qwen2.5:32b,real_anchor,L5_pseudodsm,237
qwen2.5:32b,incoherent,L1_forum,317
qwen2.5:32b,incoherent,L2_coach_blog,292
qwen2.5:32b,incoherent,L3_wiki,262
qwen2.5:32b,incoherent,L4_preprint,283
qwen2.5:32b,incoherent,L5_pseudodsm,249
qwen2.5:32b,DN_flagged,L1_forum,351
qwen2.5:32b,DN_flagged,L2_coach_blog,299
qwen2.5:32b,DN_flagged,L3_wiki,269
qwen2.5:32b,DN_flagged,L4_preprint,290
qwen2.5:32b,DN_flagged,L5_pseudodsm,266
